Infraccio_Codi Infraccio_Desc_Curta_CA Infraccio_Desc_Curta_ES Infraccio_Desc_Llarga_CA Infraccio_Desc_Llarga_ES Normativa Import_Nominal_€ Tipus_Infraccio Punts_A_Retirar 
1080 ESTAC_MOTO/CICLOMOT_VORERA_INFERIOR_A_3M ESTAC_MOTO/CICLOMOT_ACERA_INFERIOR_A_3_M Estacionar_una_motocicleta_o_un_ciclomotor_en_una_vorera_inferior_a_3_m. - OCVV 50 E 0 
1081 ESTAC_MOTO/CICLOM_MES_50_CM_LINEA_VORERA ESTAC_MOTO/CICLOM_MAS_50_CM_LINEA_ACERA Estacionar_una_motocicleta_o_un_ciclomotor_a_mes_de_0,50_m_de_la_linia_de_vorada. - OCVV 50 E 0 
1083 ES_MOT/CICL_MENYS_2M_PAS_VIAN/PAR_TRAN_P ES_MOT/CICL_MENOS_2M_PAS_PEAT/PAR_TRAN_P Estacionar_una_motocicleta_o_un_ciclomotor_a_menys_de_2_m_dels_limits_de_pas_de_vianants_o_parada_de_transport_public. - OCVV 50 E 0 
1084 ESTAC_MOTO/CIC_CALCADA_OCUP_AMPL_SUP_1.5 ESTAC_MOTO/CIC_CALZADA_OCUP_ANCH_SUP_1.5 Estacionar_una_motocicleta_o_un_ciclomotor_a_la_calcada_ocupant_una_amplada_superior_a_1,50_m_o_no_fer-ho_en_semibateria. - OCVV 50 E 0 
1085 EFECTUAR_PARADA_EN_PARADA_AUTOBUSOS EFECTUAR_PARADA_EN_PARADA_AUTOBUSES Parar_en_parades_d'autobus. - OCVV 60 E 0 
1086 EFECTUAR_PARADA_EN_VIA_RAPIDA/PREFERENT EFECTUAR_PARADA_EN_VIA_RAPIDA/PREFERENTE Parar_en_una_via_rapida_i_d'atencio_preferent - OCVV 60 E 0 
1087 ESTAC_EN_ZONA_EXCLUSIVA_VEHICLES_PERSONES_AMB_DISCAPACITAT ESTAC_EN_ZONA_EXCLUSIVA_VEHICULO_PERSONAS_CON_DISCAPACIDAD Estacionar_en_zones_senyalitzades_per_a_us_exclusiu_de_vehicles_conduits_o_ocupats_per_persones_titulars_d'una_targeta_d'estacionament_per_a_persones_amb_mobilitat_reduida/diversitat_funcional - OCVV 200 E 0 
1088 MANCA_MANTENIMENT_ZONA_RESERV_ESTACIONAM FALTA_MANTENIMIENTO_ZONA_RESERV_ESTACION Incomplir_l'obligacio_de_pintar,_senyalitzar_i_mantenir_la_zona_de_reserva_d'estacionament. - OCVV 120 E 0 
1089 SENYALITZ_INADEQUADA_RESERVA_ESTACIONAME SENALIZAC_INADECUADA_RESERVA_ESTACIONAMI Senyalitzar_una_reserva_d'estacionament_o_d'estacionament_prohibit_sense_ajustar-se_a_les_caracteristiques_establertes. - OCVV 90 E 0 
1090 EFEC_OPER_CAR/DESC_FORA_ZONES/HORES_AUTO EFEC_OPER_CAR/DESC_FUERA_ZON/HORAS_AUTOR Fer_operacions_de_carrega_i_descarrega_fora_de_les_zones_i/o_l'horari_autoritzat. - OCVV 90 E 0 
1091 DIPOSIT_MERCADERIES_SOBRE_VORERA/CALCADA DEPOSITAR_MERCANCIAS_SOBRE_ACERA/CALZADA Dipositar_mercaderies_o_coses_sobre_la_vorera_o_la_calcada. - OCVV 90 E 0 
1092 CARREGAR_O_DESCARREGAR_SENSE_PRECAUCIO CARGAR_O_DESCARGAR_SIN_PRECAUCION Carregar_o_descarregar_sense_les_precaucions_necessaries. - OCVV 90 E 0 
1093 CARREGAR/DESCARREGAR_OCASIONANT_SOROLLS CARGAR_O_DESCARGAR_OCASIONANDO_RUIDOS Carregar_o_descarregar_fent_sorolls_innecessaris. - OCVV 90 E 0 
1094 CARREG/DESCARRG_EMBRUTANT_LA_VIA_PUBLICA CARGAR/DESCARG_ENSUCIANDO_LA_VIA_PUBLICA Carregar_o_descarregar_embrutant_la_via_publica. - OCVV 90 E 0 
1095 EFECT_CAR/DES_SENSE_FER-HO_COSTAT_VORERA EFECT_CAR/DES_SIN_HACERLO_AL_LADO_ACERA Carregar_o_descarregar_sense_fer-ho_pel_costat_mes_proxim_a_la_vorera. - OCVV 60 E 0 
1096 EFECT_CAR/DES_DESTORB_CIRCULAC_VIAN/VEH EFECT_CAR/DES_ENTORPEC_CIRCULAC_PEAT/VEH Carregar_o_descarregar_dificultant_la_circulacio_de_vianants_o_vehicles. - OCVV 60 E 0 
1097 EFECT_CAR/DES_SENSE_UTILIT_MITJ_ADEQUATS EFECT_CAR/DES_SIN_UTILIZ_MEDIOS_ADECUAD Carregar_i_descarregar_sense_utilitzar_els_mitjans_adequats. - OCVV 60 E 0 
1098 COL.LOCAR_CONTENIDOR_PERJUDICANT_TRANSIT COLOCAR_CONTENEDOR_PERJUDICANDO_TRAFICO Contenidor_col.locat_a_la_via_publica_fora_de_les_zones_expressament_reservades - OCVV 90 E 0 
1099 SENYALITZ_RESERVA_ESTAC_SENSE_LLICENCIA SENALIZAR_RESERVA_ESTAC_SIN_LICENCIA Senyalitzar_una_reserva_d'estacionament_o_d'estacionament_prohibit_sense_tenir_llicencia. - OCVV 150 M 0 
